date,order_count,holiday
2017-01-05,32,False
2017-01-06,4,False
2017-01-07,4,False
2017-01-08,6,False
2017-01-09,5,False
2017-01-10,6,False
2017-01-11,12,False
2017-01-12,13,False
2017-01-13,12,False
2017-01-14,18,False
2017-01-15,14,False
2017-01-16,19,False
2017-01-17,32,False
2017-01-18,33,False
2017-01-19,29,False
2017-01-20,29,False
2017-01-21,24,False
2017-01-22,31,False
2017-01-23,39,False
2017-01-24,40,False
2017-01-25,63,False
2017-01-26,86,False
2017-01-27,62,False
2017-01-28,29,False
2017-01-29,35,False
2017-01-30,53,False
2017-01-31,70,False
2017-02-01,73,False
2017-02-02,69,False
2017-02-03,60,False
2017-02-04,67,False
2017-02-05,75,False
2017-02-06,85,False
2017-02-07,112,False
2017-02-08,95,False
2017-02-09,77,False
2017-02-10,66,False
2017-02-11,49,False
2017-02-12,64,False
2017-02-13,78,False
2017-02-14,76,False
2017-02-15,62,False
2017-02-16,55,False
2017-02-17,46,False
2017-02-18,54,False
2017-02-19,40,False
2017-02-20,63,False
2017-02-21,41,False
2017-02-22,63,False
2017-02-23,59,False
2017-02-24,64,False
2017-02-25,43,False
2017-02-26,46,False
2017-02-27,43,False
2017-02-28,55,False
2017-03-01,99,False
2017-03-02,72,False
2017-03-03,74,False
2017-03-04,80,False
2017-03-05,74,False
2017-03-06,105,False
2017-03-07,82,False
2017-03-08,79,False
2017-03-09,93,False
2017-03-10,88,False
2017-03-11,71,False
2017-03-12,64,False
2017-03-13,111,False
2017-03-14,99,False
2017-03-15,108,False
2017-03-16,103,False
2017-03-17,65,False
2017-03-18,73,False
2017-03-19,56,False
2017-03-20,119,False
2017-03-21,97,False
2017-03-22,105,False
2017-03-23,114,False
2017-03-24,79,False
2017-03-25,76,False
2017-03-26,64,False
2017-03-27,111,False
2017-03-28,103,False
2017-03-29,74,False
2017-03-30,74,False
2017-03-31,70,False
2017-04-01,68,False
2017-04-02,65,False
2017-04-03,72,False
2017-04-04,96,False
2017-04-05,96,False
2017-04-06,96,False
2017-04-07,85,False
2017-04-08,68,False
2017-04-09,73,False
2017-04-10,87,False
2017-04-11,78,False
2017-04-12,63,False
2017-04-13,60,False
2017-04-14,54,False
2017-04-15,52,False
2017-04-16,49,False
2017-04-17,65,False
2017-04-18,71,False
2017-04-19,97,False
2017-04-20,98,False
2017-04-21,68,False
2017-04-22,84,False
2017-04-23,88,False
2017-04-24,115,False
2017-04-25,111,False
2017-04-26,125,False
2017-04-27,80,False
2017-04-28,98,False
2017-04-29,74,False
2017-04-30,68,False
2017-05-01,117,False
2017-05-02,128,False
2017-05-03,103,False
2017-05-04,109,False
2017-05-05,111,False
2017-05-06,109,False
2017-05-07,111,False
2017-05-08,124,False
2017-05-09,128,False
2017-05-10,116,False
2017-05-11,126,False
2017-05-12,115,False
2017-05-13,73,False
2017-05-14,112,False
2017-05-15,157,False
2017-05-16,153,False
2017-05-17,141,False
2017-05-18,125,False
2017-05-19,144,False
2017-05-20,72,False
2017-05-21,148,False
2017-05-22,148,False
2017-05-23,125,False
2017-05-24,142,False
2017-05-25,108,False
2017-05-26,80,False
2017-05-27,83,False
2017-05-28,98,False
2017-05-29,160,False
2017-05-30,105,False
2017-05-31,129,False
2017-06-01,124,False
2017-06-02,127,False
2017-06-03,89,False
2017-06-04,102,False
2017-06-05,147,False
2017-06-06,134,False
2017-06-07,129,False
2017-06-08,137,False
2017-06-09,108,False
2017-06-10,77,False
2017-06-11,115,False
2017-06-12,126,False
2017-06-13,126,False
2017-06-14,131,False
2017-06-15,108,False
2017-06-16,97,False
2017-06-17,75,False
2017-06-18,90,False
2017-06-19,156,False
2017-06-20,94,False
2017-06-21,35,False
2017-06-22,88,False
2017-06-23,107,False
2017-06-24,76,False
2017-06-25,105,False
2017-06-26,72,False
2017-06-27,141,False
2017-06-28,120,False
2017-06-29,114,False
2017-06-30,95,False
2017-07-01,80,False
2017-07-02,108,False
2017-07-03,118,False
2017-07-04,125,False
2017-07-05,145,False
2017-07-06,154,False
2017-07-07,121,False
2017-07-08,84,False
2017-07-09,94,False
2017-07-10,143,False
2017-07-11,165,False
2017-07-12,153,False
2017-07-13,137,False
2017-07-14,149,False
2017-07-15,98,False
2017-07-16,114,False
2017-07-17,168,False
2017-07-18,192,False
2017-07-19,153,False
2017-07-20,142,False
2017-07-21,115,False
2017-07-22,88,False
2017-07-23,105,False
2017-07-24,162,False
2017-07-25,153,False
2017-07-26,124,False
2017-07-27,124,False
2017-07-28,132,False
2017-07-29,115,False
2017-07-30,117,False
2017-07-31,148,False
2017-08-01,165,False
2017-08-02,157,False
2017-08-03,148,False
2017-08-04,142,False
2017-08-05,115,False
2017-08-06,109,False
2017-08-07,157,False
2017-08-08,146,False
2017-08-09,144,False
2017-08-10,157,False
2017-08-11,141,False
2017-08-12,98,False
2017-08-13,96,False
2017-08-14,159,False
2017-08-15,194,False
2017-08-16,174,False
2017-08-17,158,False
2017-08-18,147,False
2017-08-19,108,False
2017-08-20,104,False
2017-08-21,177,False
2017-08-22,138,False
2017-08-23,112,False
2017-08-24,128,False
2017-08-25,123,False
2017-08-26,93,False
2017-08-27,119,False
2017-08-28,155,False
2017-08-29,137,False
2017-08-30,181,False
2017-08-31,149,False
2017-09-01,158,False
2017-09-02,104,False
2017-09-03,125,False
2017-09-04,150,False
2017-09-05,157,False
2017-09-06,140,False
2017-09-07,99,False
2017-09-08,116,False
2017-09-09,106,False
2017-09-10,136,False
2017-09-11,180,False
2017-09-12,206,False
2017-09-13,207,False
2017-09-14,166,False
2017-09-15,150,False
2017-09-16,129,False
2017-09-17,126,False
2017-09-18,183,False
2017-09-19,154,False
2017-09-20,163,False
2017-09-21,150,False
2017-09-22,138,False
2017-09-23,88,False
2017-09-24,118,False
2017-09-25,136,False
2017-09-26,180,False
2017-09-27,147,False
2017-09-28,143,False
2017-09-29,121,False
2017-09-30,109,False
2017-10-01,128,False
2017-10-02,143,False
2017-10-03,198,False
2017-10-04,157,False
2017-10-05,140,False
2017-10-06,130,False
2017-10-07,105,False
2017-10-08,126,False
2017-10-09,193,False
2017-10-10,185,False
2017-10-11,158,False
2017-10-12,143,False
2017-10-13,154,False
2017-10-14,116,False
2017-10-15,121,False
2017-10-16,195,False
2017-10-17,202,False
2017-10-18,179,False
2017-10-19,176,False
2017-10-20,124,False
2017-10-21,113,False
2017-10-22,158,False
2017-10-23,161,False
2017-10-24,164,False
2017-10-25,156,False
2017-10-26,144,False
2017-10-27,133,False
2017-10-28,88,False
2017-10-29,132,False
2017-10-30,149,False
2017-10-31,160,False
2017-11-01,111,False
2017-11-02,124,False
2017-11-03,143,False
2017-11-04,111,False
2017-11-05,144,False
2017-11-06,193,False
2017-11-07,160,False
2017-11-08,175,False
2017-11-09,191,False
2017-11-10,165,False
2017-11-11,159,False
2017-11-12,174,False
2017-11-13,205,False
2017-11-14,192,False
2017-11-15,186,False
2017-11-16,226,False
2017-11-17,197,False
2017-11-18,149,False
2017-11-19,158,False
2017-11-20,230,False
2017-11-21,228,False
2017-11-22,201,False
2017-11-23,283,False
2017-11-24,1176,False
2017-11-25,499,False
2017-11-26,391,False
2017-11-27,403,False
2017-11-28,380,False
2017-11-29,323,False
2017-11-30,267,False
2017-12-01,275,False
2017-12-02,216,False
2017-12-03,234,False
2017-12-04,337,False
2017-12-05,282,False
2017-12-06,280,False
2017-12-07,229,False
2017-12-08,219,False
2017-12-09,155,False
2017-12-10,190,False
2017-12-11,267,False
2017-12-12,260,False
2017-12-13,218,False
2017-12-14,200,False
2017-12-15,192,False
2017-12-16,131,False
2017-12-17,133,False
2017-12-18,209,False
2017-12-19,176,False
2017-12-20,171,False
2017-12-21,143,False
2017-12-22,111,False
2017-12-23,109,False
2017-12-24,59,False
2017-12-25,90,False
2017-12-26,168,False
2017-12-27,167,False
2017-12-28,146,False
2017-12-29,135,False
2017-12-30,97,False
2017-12-31,74,False
